country,enrolments
China,227460
India,182369
Nepal,89530
Philippines,47666
Vietnam,45356
Colombia,39867
Bangladesh,32525
Pakistan,31801
Indonesia,31579
Brazil,30345
Thailand,29038
Sri Lanka,25627
Malaysia,17798
"Korea, Republic of (South)",17229
Bhutan,15483
Taiwan,15260
Japan,14179
Hong Kong SAR,13226
Kenya,11897
Mongolia,8455
