region,enrolments,share,tiles
South Asia,377335,40.71857902858561,41
East Asia,295809,31.921030765412382,32
Southeast Asia,171437,18.499929857881277,18
South America,70212,7.576643753574551,8
Africa,11897,1.2838165945461806,1
